"","COMID","wgt","draw_year"
"374",9524369,106.297647,"2018_2022"
"375",10313456,178.93402,"2018_2022"
"376",15561157,356.266112,"2018_2022"
"377",21633877,910.363377,"2018_2022"
"378",21622449,444.979709,"2018_2022"
"379",21623435,356.266112,"2018_2022"
"380",15558669,910.363377,"2018_2022"
"381",21631963,910.363377,"2018_2022"
"382",15560239,356.266112,"2018_2022"
"383",21622603,444.979709,"2018_2022"
"384",15558265,444.979709,"2018_2022"
"385",21633543,444.979709,"2018_2022"
"386",15559477,248.102172,"2018_2022"
"387",15506506,910.363377,"2018_2022"
"388",15558695,444.979709,"2018_2022"
"389",21625527,444.979709,"2018_2022"
"390",21623465,444.979709,"2018_2022"
"391",21621759,444.979709,"2018_2022"
"392",21632897,444.979709,"2018_2022"
"393",21623213,356.266112,"2018_2022"
"394",21631787,444.979709,"2018_2022"
"395",15504572,910.363377,"2018_2022"
"396",15558179,444.979709,"2018_2022"
"397",21625643,248.102172,"2018_2022"
"398",15505114,910.363377,"2018_2022"
"399",15504628,356.266112,"2018_2022"
"400",15558277,356.266112,"2018_2022"
"401",21625529,444.979709,"2018_2022"
"402",21621899,356.266112,"2018_2022"
"403",21622231,910.363377,"2018_2022"
"404",21633435,248.102172,"2018_2022"
"405",21631725,356.266112,"2018_2022"
"406",15561203,248.102172,"2018_2022"
"407",21621727,248.102172,"2018_2022"
"408",15561181,248.102172,"2018_2022"
"409",21631643,356.266112,"2018_2022"
"410",15560829,910.363377,"2018_2022"
"411",15505094,910.363377,"2018_2022"
"412",21623803,356.266112,"2018_2022"
"413",21621871,910.363377,"2018_2022"
"414",21624115,248.102172,"2018_2022"
"415",21622643,910.363377,"2018_2022"
"416",21633531,356.266112,"2018_2022"
"417",15559781,444.979709,"2018_2022"
"418",15558109,910.363377,"2018_2022"
"419",15559787,248.102172,"2018_2022"
"420",21633071,444.979709,"2018_2022"
"421",21622583,910.363377,"2018_2022"
"422",21633799,248.102172,"2018_2022"
"423",21624799,444.979709,"2018_2022"
"424",21623501,356.266112,"2018_2022"
"425",21621911,910.363377,"2018_2022"
"426",6240345,1400.852961,"2018_2022"
"427",6188680,410.589647,"2018_2022"
"428",6212784,459.68397,"2018_2022"
"429",6185884,502.509608,"2018_2022"
"430",6230332,410.589647,"2018_2022"
"431",6188374,502.509608,"2018_2022"
"432",6217514,1400.852961,"2018_2022"
"433",6199854,1400.852961,"2018_2022"
"434",6211544,502.509608,"2018_2022"
"435",6211790,410.589647,"2018_2022"
"436",6215708,410.589647,"2018_2022"
"437",6201874,410.589647,"2018_2022"
"438",6211644,410.589647,"2018_2022"
"439",6227760,1400.852961,"2018_2022"
"440",6188232,502.509608,"2018_2022"
"441",6202588,459.68397,"2018_2022"
"442",6193926,410.589647,"2018_2022"
"443",6189556,410.589647,"2018_2022"
"444",6211982,502.509608,"2018_2022"
"445",6200034,502.509608,"2018_2022"
"446",6189014,502.509608,"2018_2022"
"447",6227362,410.589647,"2018_2022"
"448",6186074,502.509608,"2018_2022"
"449",6200090,502.509608,"2018_2022"
"450",6188778,1400.852961,"2018_2022"
"451",6212532,1400.852961,"2018_2022"
"452",6186216,459.68397,"2018_2022"
"453",6187208,502.509608,"2018_2022"
"454",6227898,1400.852961,"2018_2022"
"455",6189156,459.68397,"2018_2022"
"456",6200406,502.509608,"2018_2022"
"457",6189632,502.509608,"2018_2022"
"458",6231874,459.68397,"2018_2022"
"459",6224170,502.509608,"2018_2022"
"460",6217724,410.589647,"2018_2022"
"461",6199984,410.589647,"2018_2022"
