"","filter_match","X","SMAS_ID","COMID","YEAR","latitude","longitude","NOTES","MILES","BASIN","RECENT_SAMPLE_DATE","PREVIOUS_SAMPLE_DATE_1","PREVIOUS_SAMPLE_DATE_2","PREVIOUS_SAMPLE_DATE_3","PREVIOUS_SAMPLE_DATE_4","PREVIOUS_SAMPLE_DATE_5","PREVIOUS_SAMPLE_DATE_6","PREVIOUS_SAMPLE_DATE_7","X17","X1","wgt","adj_wgt","mdcaty","SO","start","end","matching","CHEM_PARAMETER_NAME","CHEM_PARAMETER_UNIT_NOSP","CHEM_PARAMETER_FRACTION","median"
"58","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","LEAD","ug/L","TOTAL",NA
"59","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","MAGNESIUM","ug/L","TOTAL",8160
"60","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","HARDNESS (AS CACO3)","mg/L","TOTAL",133
"61","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","ALKALINITY, TOTAL (AS CACO3)","mg/L","TOTAL",120
"62","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","NITROGEN, TOTAL","mg/L","TOTAL",0.29
"63","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","ZINC","ug/L","TOTAL",3.1
"64","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","TURBIDITY","NTU","TOTAL",10
"65","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","NITROGEN, NITRATE (AS N)","mg/L","TOTAL",0.072
"66","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","SILVER","ug/L","TOTAL",NA
"67","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","NITROGEN, KJELDAHL, TOTAL","mg/L","TOTAL",0.22
"68","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","NITROGEN, NITRITE","mg/L","TOTAL",NA
"69","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","CALCIUM","ug/L","TOTAL",39800
"70","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","LEAD","ug/L","TOTAL",NA
"71","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","CHLORIDE","mg/L","TOTAL",5.4
"72","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","NICKEL","ug/L","TOTAL",0.66
"73","01-SILV_T8_1_1-1.0_2020",94,"01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,1,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,1766.29640513374,"1st",1,2018,2022,"01-SILV_T8_1_1-1.0_9840076_2020_2018","IRON","ug/L","TOTAL",401
